id,cg_identifier,title,activity_status,last_updated,cg_activity_hierarchy,iati_identifier,act_date_start_planned,act_date_start_actual,act_date_end_planned,act_date_end_actual,contact_id,contact_tmp,reporting_org,reporting_org_type,reporting_org_tmp,reporting_org_type_tmp,participating_org,participating_org_type,participating_org_role,participating_org_tmp,participating_org_type_tmp,participating_org_role_tmp,description,budget_period_start,budget_period_end,budget_value,budget_value_currency,budget_value_date,budget_collaboration_type,cg_program,cg_program_tmp,cg_slo,cg_slo_tmp,cg_ido,cg_ido_tmp,cg_crp_ido,cg_crp_ido_tmp,cg_technology,cg_technology_tmp,cg_commodity,cg_commodity_tmp,document_url,project_website,cg_source,cg_remarks,cg_internal_status,cg_completeness
99,CRP2_BIO_Act4,,2,2014-01-24,103,,2012-03-01,,2013-06-01,,6574,Matthias Jager,,21,Biodiveristy International,International NGO (21),,,,"Hohenheim University, Germany|Wuppertal University, Germany|Proinpa Foundation, Bolivia|Instituto de Tecnología de Alimentos (ITA), Bolivia|Universitad Nacional Agraria La Molina (UNALM), Peru|Instituto Nacional de Innovación Agraria (INIA), Peru|Access for Development, India|M.S. Swaminathan Research Foundation, India|Life Trust Foundation, India|Hortichain, Indonesia",,,"This Activity aims to develop knowledge and test innovative approaches to enhance the use of native, underutilized and neglected crop diversity in its center of origin in order to increase the incomes of the poor through more diversified and sustainable agricultural production. The Activity focuses on small-holder, poor farmers, particularly those located in marginal areas that are characterized by poor soils, where the industrial agricultural model using high, mineral oil- based inputs and high yielding hybrid seeds is not an option. Underutilized crop diversity is defined here as underutilized intra-specific diversity of commodity crops (mostly landraces), or diversity related to neglected and underutilized species (NUS or “second row” crops). The Activity will review methods and tools for supporting market niche development of case study crops through mechansisms such as quality assurance methods, certification schemes and geographic indication(GI) registration for agro-biodiversity value chains. The research will focus on understanding how these mechanisms support or undermine underutilized diversity and related products based on that diversity. Methods and approaches used for improving the linkages across value chain actors will be also assessed and lessons learnt will be documented. These studies will aim at identifying methods that are appropriate and targeted for use by the rural poor. It will include lessons learnt from international projects targeting tropical fruits in Asia1 (GEF-UNEP) and Capsicum2 in Peru and Bolivia (GIZ funded) as model species.",,,2128867,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,69|52,Economic and policy technology|Educational technology|Information and communication technology|Soil management technology,,tropical fruits,,Biodiversity - Work plan (Annex 2 PPA),"Biodiversity - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Linking small producers to markets(theme);Innovations across the Value Chain-3.1(st);3.1.5|3.1.7(op),0,
102,CRP2_CIAT_Act7,,2,2014-01-24,103,,2012-01-01,,2014-01-01,,8214,Mark Lundy,,21,Centro Internacional de Agricultura Tropical (CIAT),International NGO (21),,,,Catholic Relief Services (CRS)|Swisscontact|Oxfam Great Britain|Sustainable Food Lab|SNV|Ford Foundation|International Institute for Environment and Development (IIED),,,"Development, field application, adaptation and documentation of a set of approaches and tools to facilitate the design and use of more inclusive business models between smallholder farmer associations and diverse types of buyers in Latin America, East Africa and S.E. Asia.",,,808988,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,52,Economic and policy technology,,"",,CIAT - Work plan (Annex 2 PPA),"CIAT - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",(theme);Innovations across the Value Chain-3.1(st);3.1.5(op),0,
98,CRP2_BIO_Act3,,2,2014-01-24,103,,2012-01-01,,2013-12-01,,5304,Michael Halewood,,21,Biodiveristy International,International NGO (21),,,,"University of Illinois|University of Louvain|University of Malaya|ITPGR Secretariat, FAO|National Biodiversity Centre, Ministry of Agriculture and Forests, Bhutan|Commission Nationale de Gestion des Ressources Phytogénétiques (CONAGREP) / Institut
d'Etudes et de Recherches Agricoles (INERA), Burkina Faso|Comision Nacional de Recursos Fitogeneticos (CONAREFI), Costa Rica|Ministry of Agriculture, Livestock and Food, Guatemala|National Agricultural Research Centre (NARC), Ivory Coast|Ministry of Agriculture and Cooperatives, Nepal|Rwanda Agriculture Board, Rwanda|National Agricultural Research Laboratories, Uganda",,,"i) Analyses of institutions and policies affecting collective actions to create, maintain and use ex situ collections of genetic resources for food and agriculture, with particular focus on plant genetic resources included in the International Treaty’s multilateral system of access and benefit sharing; ii) Treaty Benefit-sharing Fund income modeling and estimation; iii) network analysis of actors involved in determining and implementing policies related to the conservation and use of genetic resources, with emphasis on ex situ collections, in eight countries; iv) analysis of germplasm flows and collection management in eight countries, v) analysis of the role of community seedbanks/ genebanks at the interface of ex situ and in situ conservation and use; vi) identification of policy options to support coordinated efforts, at international levels to support collective action in creating, populating, maintaining and using collections. In 2012 and 2013, the 64 crops and forages included in Annex 1 of the International Treaty on Plant Genetic Resources for Food and Agriculture will define the outer limits of the species/genera will focus on. Within that range, we will focus on exemplary situations, involving particular crops or forages in response to the exigencies of the research, and the interests of our partners. In 2014 onwards we will increase the scope of our work, to look beyond the materials included in the Treaty’s multilateral system. Part of this work will include comparative analysis of the practical impacts (in terms of conservation, improvement, use, contributions to livelihoods) of being included/excluded from the Treaty’s Annex 1.",,,871046,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,10|52,Economic and policy technology|Genetic engineering,,"",,Biodiversity - Work plan (Annex 2 PPA),"Biodiversity - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.1|1.3.2(op),0,
86,CRP2_IFPRI_Act63,,2,2014-01-24,103,,2012-01-01,,2014-12-01,,,Ruth Vargas Hill,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,University of Oxford|University of California at Davis|Buusaa Gonofaa MFI|Oromia Insurance Company|Banco de Seguro del Estado,,,"This research activity will examine how to reduce basis risk and increase scalability of index insurance contracts for small-holder farmers. We will analyze detailed yield and rainfall data to characterize the nature of yield and rainfall variability within a locale, and simulate the level of basis risk under different insurance schemes. We will conduct randomized control trials to examine the effectiveness of the following approaches to reduce basis risk: (i) investments in weather stations, (ii) developing farmer insurance mutuals; and (iii) combining index insurance with on-farm loss assessments to develop affordable insurance contracts for smallholder farmers with minimal basis risk.",,,817130,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,80|52,Economic and policy technology|Rainwater harvesting technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Linking small producers to markets(theme);Innovations across the Value Chain-3.1(st);3.1.6(op),0,
121,CRP2_ICRAF_Act19,,2,2014-01-24,103,,2012-03-01,,2014-06-01,,,Olu Ajayi,,21,World Agroforestry Centre (ICRAF),International NGO (21),,,,"University of Nairobi|Kenya Agricultural/Forestry Research Institute (KARI/KEFRI)|Agroforestry Policy Working Group, Malawi|Indian Council of Agricultural Research|Indian Council for Forestry Research and
Education|Institut d’Economie Rural, Mali|Mali Department of Water and Forests",,,"- Review key policy processes and sectoral policies to identify those that exert positive or
negative influence (and the degree of the influence) on the adoption of agroforestry and other natural resource management practices in selected countries (Kenya, India, Malawi and Mali).
- Conduct interviews and stakeholder analysis with key actors to assess the extent and effectiveness of policy implementation; level of the disconnect between the provisions of the policies against actual situation regarding implementation of the policies.
- Identify institutional responsibilities at national and sub-national levels (e.g. government agencies; ministries; etc.) to identify overlaps, gaps and incoherencies in existing policy documents, the factors responsible for the gap and identify strategies to bridge the gaps.
- Share the results of the study with stakeholders and identify options for testing different policy designs to facilitate agroforestry and natural resource management practices",,,1094953,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-04,,52,Economic and policy technology,,"",,ICRAF - Work plan (Annex 2 PPA),"ICRAF - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive Governance and Institutions(theme);Policy Processes-2.1(st);2.1.2|2.1.4(op),0,
122,CRP2_ICRAF_Act20,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,2413,DELIA C. CATACUTAN,,21,World Agroforestry Centre (ICRAF),International NGO (21),,,,"CRP6|CAPRi|Department of Environment and Natural Resources /Protected Area Management Board, Philippines|University of the Philippines|ICRAF-REALU|ICRAF-RUPES|Tai Nguyen University|Ministry of Environment and Forestry, Cameroon|IFAD",,,"1. Land tenure and property rights will be characterized in 11 case study sites in Indonesia, Philippines, Vietnam and Cameroon to understand how tenure and property rights interact with the land use decisions of men, women and marginalized groups.
2. In-depth case studies will be used to examine how the relations between property rights, power relations and benefit-sharing impact the poor, women and marginalized groups.
3. The case studies will also look at existing and potential land reforms or mechanisms that strengthen property rights of the commons, as well as customary rights; and
4. The case studies will be synthesized, and lessons learnt and good practices will be communicated to partners and decision-makers at various levels.",,,1120215,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-07,,52,Economic and policy technology,,"",,ICRAF - Work plan (Annex 2 PPA),"ICRAF - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive governance and institutions(theme);Collective Action and Property Rights-2.3(st);2.3.3|2.3.4(op),0,
120,CRP2_ICRAF_Act18,,2,2014-01-24,103,,2012-01-01,,2013-09-01,,4536,Steven Franzel,,21,World Agroforestry Centre (ICRAF),International NGO (21),,,,"East Africa Dairy Development Program (EADD)|HAMK University Finland|African Network for Agriculture, Agroforestry and Natural Resource Management
Education (ANAFE)|Makerere University, Uganda|University of Tschang (Cameroon)|Global Forum for Rural Advisory Services (GFRAS)|African Forum for Agricultural Advisory Services (AFAAS)",,,"This activity will evaluate the effectiveness of two innovative extension approaches: Voluntary farmer trainers in Kenya, Uganda, and Rwanda, who are promoting feed innovations for dairy farmers and Rural Resource Centers(RRCs) promoting tree products in Cameroon. Effectiveness will be assessed in terms of the flow of knowledge, information and germplasm among farmers, costs and benefits, sustainability of the approach, degree to which marginalized groups benefit and degree to which the approach is able to build capacities of rural institutions and farmers. Methods used will be both qualitative and quantitative including household surveys, focus group discussions, and cost-benefit, gender and econometric analysis. Capacity strengthening activities will take place at several levels and will include recruitment of 3 PhD candidates (2 females), development of extension and training materials, policy briefs and organization of capacity strengthening workshops.",,,4259348,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,83,Educational technology|Alternative basic education for nomadic communities,,"",,ICRAF - Work plan (Annex 2 PPA),"ICRAF - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.12(op),0,
127,CRP2_Worldfish_Act89,,2,2014-01-24,103,,2012-04-01,,2014-12-01,,,Blake Ratner,,21,WorldFish Center,International NGO (21),,,,"Zambian Agricultural Research Institute (ZARI)|Agriculture Consultative Forum (ACF)|Bangladesh Agricultural Research Council (BARC)|Bangladesh Rural Advancement Committee (BRAC)|Rangpur Dinajpur Rural Service (RDRS)|Ministry of Agriculture, Forests, and Fisheries (MAFF), Cambodia|Development Resource Institute (CDRI), Cambodia|Learning Institute (LI), Cambodia",,,"This activity will employ participatory assessments to synthesize experience on the obstacles to poor resource users’ influence on policy decisions affecting their livelihoods, and strategies for improving that influence. Researchers will identify governance challenges drawing on community-driven assessment of obstacles and opportunities for improving livelihoods and building resilience. The activity will support policy-oriented outcomes from action research in aquatic agricultural systems in three of the five focal countries for CRP AAS (Zambia, Solomon Islands, Bangladesh, Philippines, and Cambodia), and will communicate lessons through international policy and research networks.",,,420000,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-04,,53|65|52,Economic and policy technology|Educational technology|Fishery technology,,"",,Worldfish - Work plan (Annex 2 PPA),"Worldfish - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Inclusive Governance and Institutions(theme);Policy Processes-2.1(st);2.1.5|2.1.7(op),0,
9,CRP4_9,Nutritional Quality Assurance and Enhancement Network (NQAEN) ,2,2014-01-24,103,,2012-01-01,,2014-12-01,,23,Thomas zum Felde,,21,CIP,International NGO (21),,,,IITA,,,This project aims to build knowledge and capacity to enable researchers to assure accurate and cost-effective assessments of micronutrient concentrations of potato and sweet potato; and to look for research opportunities to contribute in building evidence that micronutrients of potato and sweet potato and their products are bioavailable for the human body.,,,267378,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,53|14|52,Economic and policy technology|Educational technology|Seed technology,,potato|sweet potato,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Biofortification(theme),0,
10,CRP4_10,Rwanda Super Foods,2,2014-01-24,103,,2010-08-01,,2014-08-01,,13058,Kirimi Sindi,,21,CIP,International NGO (21),,,,"",,,This project aims to build an effective public-private sector partnership with the aim of providing evidence that sweet potato products are profitable as well as enhancing the value chain and increasing revenues for local sweet potato farmers.,,,1090850,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-01,,CG-IDO-03,,52,Economic and policy technology,,sweet potato,,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Biofortification(theme),0,
7,CRP4_7,Mainstreaming biodiversity conservation and sustainable use for improved human nutrition and well-being ÔøΩ Biodiversity for Food and Nutrition Project,2,2014-01-24,103,,2012-04-01,,2016-10-01,,2030|5696,Danny Hunter|Teresa Borelli,,21,BIOVERSITY,International NGO (21),,,,N/A,,,"",,,6664540,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,52,Economic and policy technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
11,CRP4_11,Cohort for Vitamin A Study (linked to Mama SASHA),2,2014-01-24,103,,2012-05-01,,2014-10-01,,5090|8151,Jan Low|Frederick Grant,,21,CIP,International NGO (21),,,,Emory University|Egerton University|KEMRI,,,"",,,1300000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,3,Biofortification technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
12,CRP4_12,Mama SASHA under SASHA project,2,2014-01-24,103,,2010-01-01,,2014-10-01,,5090|8151,Jan Low|Frederick Grant,,21,CIP,International NGO (21),,,,PATH|ARDAP|CREADIS|KARI|KARI,,,"",,,1200000,,,2,CRP-4,CRP 4,CG-SLO-3,,CRP4-IDO-04,,CG-IDO-08,,3,Biofortification technology,,"",,A4NH_where we work (updated 2013),"A4NH_where we work (updated 2013)|Amanda Wyatt (IFPRI)|DG_CRP4_activity analysis.xlsx,DG_CRP4 geocoding.xlsx(DG)",Integrated Programs and Policies(theme),0,
77,CRP2_IFPRI_Act45,,2,2014-01-24,103,,2012-06-01,,2014-12-01,,14956,Liangzhi You,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,International Institute of Applied Systems Analysis (IIASA)|Chinese Academy of Agricultural Sciences|International Livestock Research Institute|Agricultural Research for Development (Cirad)|Huazhong Agricultural University (HZAU)|Africa Soil Information Service (AfSIS)|Yield Gap Atlas Project (led by University of Nebraska)|Food and Agriculture Organization of the United Nations (FAO)|Agricultural Multi-model Inter-comparison and Improvement Project (AgMIP)|University of Frankfurt,,,"The proposed activity would: 1) gather baseline national/sub-national statistics, household surveys, spatial datasets from various data agencies around the world to put together a consistent global data set on biophysical conditions, agricultural management/technology practices and adoptions, water uses and pollution, and crop/livestock prices; 2) employ geo- referencing/spatial-disaggregation methods, expert consultation, and innovative modeling to develop a gridded global agricultural database; and 3) develop a data portal and web APIs, including new tools for querying, visualizing, and providing data in a variety of formats to CRP2 and global research community. Distinguishing features of this effort will be its transparency, documentation, peer-review quality control, multidisciplinary, and sustainability over time.",,,1952074,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-01,,69|52,Economic and policy technology|Educational technology|Information and communication technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",(theme);Foresight and Strategic Scenarios-1.1(st);1.2.1|1.1.2|1.1.3|1.1.5(op),0,
89,CRP2_IFPRI_Act65,,2,2014-01-24,103,,2012-04-01,,2012-12-01,,13928,Maximo Torero,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,CIAT|CIP|ILRI,,,"The proposed web-based information and knowledge clearinghouse will serve as a fully- accessible repository linked to the GFAR/CIARD portal for all the existing and future products developed through the markets theme of CRP2 for use by other CRPs working on global and local market issues impacting on smallholders (that is, CRP1, CRP3, CRP4, and others), as well as the broader research and development audience. The ethos of the clearinghouse will be that of “Creative Commons” (in contrast to materials under “copyright”), where all products are made available as quickly and widely as possible under the stipulation that authorship be respected although changes can be made and shared. In addition the clearinghouse will include time of capacity building by each of the core centers involved in Theme 3 of CRP2 (CIAT, ILRI, CIP and IFPRI). In addition this proposal will closely coordinate with the Data initiative lead by CRP2.",,,783400,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,69,Educational technology|Information and communication technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",(theme);Innovations across the Value Chain-3.1(st);3.1.9(op),0,
91,CRP2_IFPRI_Act68,,2,2014-01-24,103,,2012-06-01,,2014-12-01,,2626|6866,Pramod Joshi|Kevin Chen,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,Remin University|Zhejiang University|Gokhale Institute of Politics and Economics|National Centre for Agricultural Economics and Policy Research,,,"This activity addresses the knowledge gaps on financing aspects of transforming food value chains (FVC), with the end-view of expanding their reach to smallholder farms and small and medium-sized agro-enterprises (SMAEs) in the low and middle income countries in Asia. The countries under the study in the first phase are two emerging economies in Asia namely China, and India. In the second phase, Bangladesh and Cambodia will be covered as there is enormous potential for transforming traditional markets into modern markets.",,,904918,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-05,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Linking small producers to markets(theme);Innovations across the Value Chain-3.1(st);3.1.1(op),0,
107,CRP2_ICRISAT_Act28,,2,2014-01-24,103,,2012-07-01,,2014-12-01,,,D.Kumara Charyulu,,21,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),International NGO (21),,,,"Indian Institute of Pulse Research (IIPR, Kanpur)|All India Coordinated Research Project on pigeonpea (AICPIP), Kanpur|All India Coordinated Research Project on chickpea, Kanpur|Directorate of Groundnut Research (DGR, Gujarat)|Directorate of sorghum research (DSR), Hyderabad|All India Coordinated Pearl millet Improvement Program (AICPMIP)|Hybrid Parents Research Consortium (HPRC), ICRISAT|Acharya N.G Ranga Agricultural University (ANGRAU), Hyderabad|University of Agricultural Sciences (UAS), Dharwad, Karnataka|MaharanaPratapKrishiVignanPeth (MPKV), Rahuri|Marathwada Agricultural University (MAU), Parbhani|IFPRI, Washington D.C.|CRP 3.5 (Grain legumes)|CRP 3.6 (Dryland Cereals)",,,"Broadly, this activity would generate massive wealth of information from both bio-physical scientists as well as producer farmers. It will also assess the costs and benefits of alternative science tools like improved cultivars/technology and management practices available in dryland crops. The best estimates of adoption of improved cultivars and various factors influencing adoption pathway could be identified. Similarly, the role of institutions, policies and gender in technology adoption would be assessed. Information on farmer preferred traits as well as market preferences would be analyzed and documented and which in turn provides feedback to breeders. The activity also identify the barriers for technology adoption, input use behavior and natural resource management issues at farm level. The sources of new seed and its various delivery mechanisms would be analyzed thoroughly. Overall, the activity would develop suitable policies and strategies for sustainable intensification of dryland cereals and legumes productivity in India.",,,649904,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,55|52,Economic and policy technology|Educational technology|Enhanced risk management technology,,pigeonpea|chickpea|groundnut|sorghum|pearl millet,,ICRISAT - Work plan (Annex 2 PPA),"ICRISAT - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.2|1.3.6(op),0,
73,CRP2_IFPRI_Act42,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,7569,Katrina Kosec,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,African Center for Economic Transformation|African Economic Research Consortium|Ethiopian Agricultural Transformation Agency|Fundacão María Cecilia Souto Vidigal|University College London|Stanford University|Brown University|Tanzania Social Action Fund,,,"We will analyze data on decentralization and the governance environment from various regions and countries, including Africa and Brazil. Many features of the governance environment— including the degree of devolution of power from the central government (decentralization), types of inter-governmental transfers used, the degree of competition between local governments to attract taxable yet mobile factors of production, the level of corruption, and the rule of law—can affect public goods provision and citizens’ well-being. We will shed light on why particular governance arrangements arise, and how they affect citizens’ (especially the rural poor’s) access to high-quality publicly-provided goods and services.",,,602391,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-07,,52,Economic and policy technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",(theme);Governance of Rural Services-2.2(st);2.2.2(op),0,
68,CRP2_IFPRI_Act37,,2,2014-01-24,103,,2012-03-01,,2014-12-01,,2101,Clemens Breisinger,,21,International Food Policy Research Institute (IFPRI),International NGO (21),,,,Economic Research Forum|League of Arab States|Cairo University|Faculté de Sciences Economiques et de Gestion de Tunis|Yemen Ministry of Planning and International Cooperation,,,"This activity leverages IFPRI’s and its partners’ vast experience in providing data, tools and analysis for policy impact to the Arab region and selected post-Arab Awakening countries. It does so by a) initiating a web-based knowledge platform for improving access to information and transparency b) identifying policies for overcoming poverty and the triple burden of malnutrition in the Arab World c) designing methodologies to assess the macro- and microeconomic dimensions of poverty, food security and malnutrition. The country case studies will include Egypt and one other Arab country with large poverty and nutrition challenges.",,,652653,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-02,,69|52,Economic and policy technology|Educational technology|Information and communication technology,,"",,IFPRI - Work plan (Annex 2 PPA),"IFPRI - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx","Effective Policies and Strategic Investments(theme);Macroeconomic, Trade, and Investment Policies-1.2(st);1.2.7(op)",0,
124,CRP2_CIP_Act13,,2,2014-01-24,103,,2012-01-01,,2014-12-01,,5374,Guy G. Hareau,,21,International Potato Center (CIP),International NGO (21),,,,IFPRI|CIMMYT|CIAT|ICRISAT|ICRAF|IRRI|ICARDA|ILRI|IITA|Bioversity|University of Florida,,,"CIP is one of the participating centers of the Global Futures project led by IFPRI which aims at enhancing the capacity of the CGIAR to conduct ex-ante analysis and priority setting through improved targeting and modeling. The product will be a comprehensive modeling environment integrating socio-economic, bio-physical and technological responses that can simulate global, regional, and local consequences of policy changes and technology investments. The modeling environment will provide a much-improved platform upon which international agricultural research centers, development agencies, and national governments can base targeting, strategic planning and investment decisions. CIP will focus on improving targeting methods, the modeling environment and the related data for its mandate crops (potato and sweetpotato).",,,883785,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-01,,52,Economic and policy technology,,potato|sweetpotato,,CIP - Work plan (Annex 2 PPA),"CIP - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Foresight and Strategic Scenarios-1.1(st);1.1.2|1.1.6(op),0,
128,CRP2_ICARDA_Act16,,2,2014-01-24,103,,2012-09-01,,2013-12-01,,1320|13674,Aden Aw-Hassan|Roberto Telleria,,21,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO (21),,,,"Agricultural (or water) ministries of selected CWANA countries|NARS from Egypt, Morocco and Ethiopia|Purdue University (US) and/or Kiel Institute (Germany)",,,"Starting with baseline inventory of current agricultural and food policies of selected WANA countries, a research will be undertaken on policies that can foster water use efficiency, including pricing mechanisms based on marginal costs, incentives to move towards water- saving technologies. Opportunity costs of water use allocation to agriculture vs. non-agricultural uses (industry, household consumption) will be studied providing, on the one hand, relevant indicators of the pressure on nation's own water resources and, on the other hand, elements for water use allocation based on social, ecological and economic considerations. Our central activity will focus on identifying policies for improving agricultural water-use efficiency. Identifying existing cost-effective technologies and management practices, which are feasible in terms of implementation will be recommended so maintaining a strong agricultural sector in the CWANA region while reducing pressure on its main sources of fresh water.",,,417981,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-03,,53|52|133,Economic and policy technology|Educational technology|Water management technology,,"",,ICARDA - Work plan (Annex 2 PPA),"ICARDA - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",Effective Policies and Strategic Investments(theme);Production and Technology Policies-1.3(st);1.3.6|1.3.7(op),0,
100,CRP2_CIAT_Act5,,2,2014-01-24,103,,2012-08-01,,2014-12-01,,,B. Creamer,,21,Centro Internacional de Agricultura Tropical (CIAT),International NGO (21),,,,"International Food Policy Research Institute (IFPRI)|International Livestock Research Institute (ILRI)|International Crops Research Institute for the Semi-Arid Tropics (ICRISAT)|World Agroforestry Centre (ICRAF)|University of Florida, USA|International Potato Center (CIP)|International Maize and Wheat Improvement Center (CIMMYT)",,,"This activity will primarily develop and enhance methodologies and tools needed to conduct ex- ante socio-economic impact assessments of agricultural technologies and management practices. Crop modeling tools and the updated new generation integrated IMPACT model will be used to examine specific scenarios, and assess possible futures of agriculture in tropical areas, and the potential impacts that global economic and environmental change will have on the economies of tropical countries. The activity analysis the potential impacts of climate change, water scarcity and drought, waterlogging, on tropical agriculture especially in countries of Latin America, the Caribbean (LAC), Sub-Saharan Africa (SSA), and South East Asia (SEA). The activity will identify potential technologies/management systems and practices and evaluate the welfare benefits under changing economic and climate change scenarios to guide research priority setting and investment plans. This research will collect and document high quality biophysical and socio-economic data and research reports and policy briefs will be prepared to disseminate the evidence based results to the different stakeholders.",,,1069996,,,2,CRP-2,CRP 2,to_update,,CG-IDO-08,,CRP2-IDO-01,,52,Economic and policy technology|Educational technology,,"",,CIAT - Work plan (Annex 2 PPA),"CIAT - Work plan (Annex 2 PPA)| Pascale Sabbagh (IFPRI), geocoded by DG - IFPRI_CRP2 geoANDanalysis_final.xlsx",(theme);Foresight and Strategic Scenarios-1.1(st);1.1.1|1.1.2|1.1.3|1.1.4|1.1.5|1.1.6(op),0,
