CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
1.1,1.1.3,,1.1,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,High Rainfall,SLO1|SLO2|SLO3|SLO4,Monitoring and Evaluation,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.4,,1.1,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Capacity building,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.5,,1.1,,,,,,rice,Economic and policy technology|Education policy,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Animal production,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.6,,1.1,,,,,,rice,Economic and policy technology|Seed technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Marketing & Commodities,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.7,,1.1,,,,,,rice,Community-based breeding,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Animal production,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.8,,1.1,,,,,,rice,Economic and policy technology|Community-based breeding,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Animal production,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.1.9,,1.1,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Databases & Information systems,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.2.1,,1.2,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Capacity building,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.3.1,,1.3,,,,,,rice,Education technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,1.3.2,,1.3,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,2,,Gender,,,,,,,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,,Gender,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.1.1,,4.1,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Research,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.1.2,,4.1,,,,,,rice,Economic and policy technology|Education policy,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Marketing & Commodities,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.2.1,,4.2,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Households,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.2.2,,4.2,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Marketing & Commodities,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.2.3,,4.2,,,,,,rice,Economic and policy technology|Education policy,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Households,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.2.4,,4.2,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.3.1,,4.3,,,,,,rice,Economic and policy technology|Education policy,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Monitoring and Evaluation,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.3.1,,4.3,,,,,,rice,Economic and policy technology|Education policy,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Monitoring and Evaluation,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.3.2,,4.3,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Policy,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.3.3,,4.3,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Households,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
1.1,4.3.3,,4.3,,,,,,rice,Economic and policy technology,,,,International Center for Agricultural Research in the Dry Areas (ICARDA),International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_1.1%20Dry%20Area%20Systems%20-%20Revised%20Proposal%20July%2020%2C%202011.pdf,Cereal-root crop mixed|Agro-pastoral millet/sorghum|Pastoral,,SLO1|SLO2|SLO3|SLO4,Monitoring and Evaluation,,,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),Bioversity International,Centro Internacional de Agricultura Tropical (CIAT),Centro Internacional de la Papa (CIP),International Livestock Research Institute (ILRI),International Water Management Institute (IWMI),World Agroforestry Centre (ICRAF),WorldFish Center,CGIAR Sub-Saharan Africa Challenge Program (SSA-CP),AARINENA,ASARECA,APAARI,CACAARI,CORAF,FARA,ORAGRO,GFAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
