CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,
5,4.5.3,,"Theme, 4.5, Nile River Basin",,,,,,,Economic and policy technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.5.4,,"Theme, 4.5, Nile River Basin",,,,,,,Water management technology|Information and communication technology|Education technology|Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.5.5,,"Theme, 4.5, Nile River Basin",,,,,,,Waste-water treatment,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.5.6,,"Theme, 4.5, Nile River Basin",,,,,,,Water management technology|Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.1,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.2,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.3,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Water management technology|Livestock technology|Agroforestry technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.4,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Water management technology|Fertilizer technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.5,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Water management technology|Information and communication technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.6,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.7,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Water management technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,4.6.8,,"Theme, 4.6, Volta and Niger River Basin",,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5a,,"Sub-theme, 2.5 Reducing risk by providing farmers with supplemental irrigation",,,,,,,Water management technology|Irrigation technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.1,,Strategic Research Portfolio 5: Information Systems,,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.1.1,,5.1. Agroecosytem information systems,,,,,,,Water management technology|Information and communication technology|Education technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Information science,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.1.2,,5.1. Agroecosytem information systems,,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Databases & Information systems,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.1.3,,5.1. Agroecosytem information systems,,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Information science,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.1.4,,5.1. Agroecosytem information systems,,,,,,,Water management technology|Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Information science,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.2,,Strategic Research Portfolio 5: Information Systems,,,,,,,Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.2.1,,5.2. Sentinel site surveillance,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.2.2,,5.2. Sentinel site surveillance,,,,,,,Water management technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Information science,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.2.3,,5.2. Sentinel site surveillance,,,,,,,Economic and policy technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,,,,Information science,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
5,5.3,,Strategic Research Portfolio 5: Information Systems,,,,,,,Information and communication technology,,,,IWMI,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP5_crp5_water_land_ecosystems_sept_23_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,Water management,,,FAO,ILRI,Biodiversity International,CIMMYT,IITA,ICRISAT,CGIAR,CIAT,IRRI,WorldFish Center,IPGRI,World Agroforestry Center (ICARF),AfricaRice,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
