CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),,,,,,,,,
3.2,8.5,,,,,,,,maize,"(1) via a pre-breeding introgression pipeline that assists maize breeders in the mobilization of novel alleles into their breeding programs, (2) by strengthening/refining existing seed-conservation a",,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,9.1,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,9.2,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,9.3,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Maize mixed,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.1,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.2,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.3,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.4,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.5,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.6,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.7,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.8,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.9,,,,,,,,maize,Plant breeding technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.1,,,,,,,,maize,Enhanced risk management technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.11,,,,,,,,maize,Conservation agriculture technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.12,,,,,,,,maize,,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.13,,,,,,,,maize,Conservation agriculture technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.14,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.15,,,,,,,,maize,Economic and policy technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.16,,,,,,,,maize,Food technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.17,,,,,,,,maize,Fertilizer technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.18,,,,,,,,maize,Education technology|Seed technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.17,,,,,,,,maize,Drought-tolerant maize varieties,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
3.2,10.18,,,,,,,,maize,Food technology,,,,CIMMYT|IITA,International NGO,http://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/crp_3.2_crp_report_june_1_2011.pdf,Root crop|Cereal-root crop mixed|Maize mixed|Agro-pastoral millet/sorghum|Coastal artisanal fishing,,,,,,,CIAT,ICRISAT,IFPRI,ILRI,IRRI,ICARF,World Agroforestry Centre (ICRAF),,,,,,,,,
