no	SRP	Cluster	2nd	Center	cg_internal	title	(select from list)	start_Planned	start_Actual	end_Planned	end_Actual	contact	rep_org_name	rep_org_type	part_org_name	part_org_role	Description	regions	countries	effort_by_basin	Admin	Site	yearly_budget	currency	(select from list)	W1&2	W3	Bilateral	Total	Nile	Volta & Niger	Limpopo & Zambezi	Amu Darya & Sur Darya	Tigris & Euphrates	Indus & Ganges	Mekong	Andes	Other	Global
51	2	2.2		6.ICARDA	2.2.10	Evaluation of the downstream consequences on water amounts and quality of implementing supplemental irrigation and water harvesting interventions in upper Karkheh river basin in Iran 						 Oweis	ICARDA	80 | Academic, Training and Research			Evaluation of the downstream consequences on water amounts and quality of implementing supplemental irrigation and water harvesting interventions in upper Karkheh river basin in Iran 	MENA	Iran	Other (100)			344000	USD	CRP - Water, Land and Ecosystems	$78,000	$133,000	$133,000	$344,000									100%	
52	2	2.2		8.ICRISAT	2.2.11	Training, capacity development and technical consultancies for efficient watershed management				2013		 Wani	ICRISAT	80 | Academic, Training and Research				SASI; SEAS		Mekong, Other (50/50)			226650	USD	CRP - Water, Land and Ecosystems	$89,517		$137,133	$226,650							50%		50%	
53	2	2.2		9.IFPRI	2.2.12	The Relationship between Soil Degradation, Rural Livelihoods, and Household Well-Being						 Nkonya	FPRI	80 | Academic, Training and Research				EAFR		Nile (100)			37745	USD	CRP - Water, Land and Ecosystems			$37,745	$37,745	100%									
54	2	2.3		10.IITA	2.3.1	Management of Millet Head Borer to Increase Pearl Millet Production in the Sahel 				2013		 Tamo	IITA	80 | Academic, Training and Research			Management of Millet Head Borer to Increase Pearl Millet Production in the Sahel 			Volta & Niger, Global (50/50)	Sahel		7227	USD	CRP - Water, Land and Ecosystems			$7,227	$7,227		50%								50%
55	2	2.3		2.Bioversity	2.3.2	Implementation of a programme of work for the use of intra-specific crop diversity to provide agroecosystem services and resilience to regulate abiotic and biotic stress (Nepal, Uzbekistan and Kazakhstan).				2018		 Sthapit	Bioversity	80 | Academic, Training and Research			First assessment of farmer use of intra-specific crop diversity to improve ecosystem services and manage unpredictable environmental change (Nepal); Preparation of the Full Project document (Uzbekistan and Kazakhstan)	CASI; SASI		Indus & Ganges (100)			662818	USD	CRP - Water, Land and Ecosystems	$250,573		$412,245	$662,818						100%				
56	2	2.3		2.Bioversity	2.3.3	Quantifying the role of intra-specific crop diversity to regulate pest and diseases in agricultural ecosystems				2015		 Jarvis	Bioversity	80 | Academic, Training and Research			Through the improved use of production systems crop genetic diversity to sustain food production and improve ecosystem health, this activity will: Test practices and procedures to determine and optimally use crop genetic diversity to reduce pest and disease pressures;  Enhance pro-poor capacity and leadership of farmers and other stakeholders to use local crop genetic diversity to manage pests and diseases; and Implement actions to support scaling up of genetic-diversity-rich methods to reduce crop damage and sharing of the benefits derived.	EAFR; EASI; NAFR; SAME		Nile, Indus & Ganges, Andes, Global (25 each)			816055	USD	CRP - Water, Land and Ecosystems	$433,911		$382,144	$816,055	25%					25%		25%		25%
57	2	2.3		2.Bioversity	2.3.4	Agrobiodiversity  use in Sri Lankan agroecosystems for  adaptation and ecosystem resilience to climate change				2018		 Hodgkin	Bioversity	80 | Academic, Training and Research			"Through an integrated ecosystem approach, this activity aims to:  Support for the maintenance of traditional materials and practices that sustain on-farm
diversity together with the development and introduction of new adaptive practices and materials; Focus on the livelihood and household economic
aspects and on securing income, nutrition and health benefits from agrobiodiversity; Develop of supportive policies and institutional frameworks combined with the necessary capacity development, education and public awareness activities."	SASI		Other (100)			348060	USD	CRP - Water, Land and Ecosystems	$69,031		$279,029	$348,060									100%	
58	2	2.3		2.Bioversity	2.3.5	Use of agrobiodiversity for ecosystem resilience in managed and natural Landscapes (Cuba and pastoral ecosystems)				2018		 Eyzaguirre	Bioversity	80 | Academic, Training and Research			Implementation of a programme of work for the use of  agrobiodiversity for ecosystem resilience in Man and the Biosphere Reserves in Cuba.  Implementation of programme on optimal resources utilization for promoting the resilience and service of farming and pastoral ecosystem in China.	EASI; CAMC		Other (100)			735438	USD	CRP - Water, Land and Ecosystems	$344,128		$391,310	$735,438									100%	
59	2	2.3		2.Bioversity	2.3.6	Improving the availability and use of diverse seed and other planting materials to reduce vulnerability and improve food security for smallholders in vulnerable ecosystems;  Advocacy for agricultural biodiversity conservation and research policy linkage				2016		 Lopez; Jarvis	Bioversity	80 | Academic, Training and Research			Definition of research questions; selection of project sites and crops in 5 countries; characterization of seed systems in each site, by surveying seed suppliers in local markets and existing practices, procedures and regulations; identification of  existing gaps in seed systems; refinement of indicators for productivity and resilience. Explore concepts and practical examples of conservation and food sovereignty constituencies coming together and combining efforts to set a new agenda for agriculture, and to identify the kinds of strategies and partnerships this will require.  			Nile, Volta & Niger, Amu Darya & Sur Darya, Indus & Ganges, Andes (20 each)			849097	USD	CRP - Water, Land and Ecosystems	$248,333		$600,764	$849,097	20%	20%		20%		20%		20%		
60	2	2.3		2.Bioversity	2.3.7	Develop a framework for agrobiodiversity and ecosystem services for CRP5				2013		 De Clerck	Bioversity	80 | Academic, Training and Research			"Biodiversity will lead CRP wide development of a research and development framework for Ecosystem Services and Resilience. Three framework will service to guide CRP level work by establishing a clear and practical set of guidelines for integrating ecosystem service and resilience thinking into the various SRP's. This activity will focus on intercenter collaboration. The primary objectives include: The advisory group aims to provide critical feedback and guide research on ecosystem services in the Water Land and Ecosystems CRP. Goals of the Advisory Group are to:

1) Develop a framework for ecosystem service research within WLE that serves to guide collaborative research projects within the CRP.
2) Provide a synthesis of current and on-going work and key collaborators working on the measurement and monitoring of ecosystem services at landscape and basins scales both within the CGIAR and out. For example this would include on-going work with InVest by the Natural Capital Project, ARIES with Conservation International, the Africa Monitoring System or the World Bank effort to develop national indicators of Natural Capital.
3) Develop a set of metrics and standardized protocols for measuring priority ecosystem services at landscape, national, and basin scales with a particular focus on metrics that bridge the gap between disciplines – ecological, sociological, political and economic.
4) Set the agenda for major research questions on ecosystem services and resilience for CRP 5 and expected outcomes; secure additional CGIAR and Restricted funding to support Ecosystem Service based research in CRP5.    "	Global		00 | Global			1083305	USD	CRP - Water, Land and Ecosystems	$574,024		$509,282	$1,083,305										100%
61	2	2.3		3.CIAT	2.3.8	Addressing the challenges of smallholder farming communities: Restoring Degraded Agroecosystems (Pipeline)				2015		 Augusto Castro; Fonte; Glenn Hyman	CIAT	80 | Academic, Training and Research			Improve livelihoods of the rural poor in the tropics by restoring degraded soils and landscapes to enhance agricultural productivity and sustainability in an era of climate change.	LAC; Global		Other, Global (50/50)			518653	USD	CRP - Water, Land and Ecosystems			$518,653	$518,653									50%	50%
62	2	2.3		9.IFPRI	2.3.9	Mobile agent-based ecosystem services management in smallholder landscapes – Southeast Asia and South America						 Bell; Zhang	FPRI	80 | Academic, Training and Research			"The maintenance of less-disturbed vegetation in agricultural landscapes provides habitat for beneficial insects, promoting a class of services such as pollination and pest control that are collectively referred to as mobile agent-based ecosystem services (MABES).  Patches of land on which MABES are enhanced can provide spatially far-reaching benefits, but a problem arises in fragmented smallholder farming landscapes as to whose land should become the host.  The land available to a farmer, along with the set of available inputs, shape the opportunity cost of keeping land in productive use; further, the structure and security of institutions for land tenure – held privately, collectively, or by the state – shape the incentives farmers have to make investments in farm structure. The goal of our research is to improve MABES management and reduce the use of chemical pesticides through coordinated action across farmers at the landscape scale. Our key research questions are:
1) How do farmer objectives, and incentives to coordinate, vary across property size and institutional arrangements for tenure?
2) What are the most appropriate interventions to optimize MABES management across these different size and institutional contexts?
We propose a three-year, three-country (Cambodia, Vietnam, China) study to design and evaluate incentives for MABES management, taking into account heterogeneity in property size and institutional arrangements for property rights that characterize China and Southeast Asia.  Our choice of countries leverages existing research in Northern China, and covers landscapes i) where smallholder properties are unvaryingly small (> 2ha; Cambodia, China, and areas in North Vietnam) as well as where some consolidation has occurred (> 10ha; Southern Vietnam); and ii) with different prevalence of private property rights (Southern Vietnam and China), collective farming systems (Northern Vietnam), and threats to tenure security (Cambodia).
Our research will combine modeling study with household survey.  Drawing on existing MABES research in China and published models of MABES provision, a spatially explicit agent-based model of agricultural households will be developed to i) propose candidate incentives for managing MABES and reducing pesticide use, and ii) identify key variables in farmer decision making for the household survey.  Survey research in chosen agricultural contexts (Cambodia, Southern Vietnam, Northern Vietnam, and Northern China) will follow a 2-stage random sampling design of agricultural communities and households within them, post-stratifying by wealth, property size, land tenure system, and current reliance on pesticides.  This survey research will inform the understanding of household level objective functions, decision-making criteria, and community network structure, and will feed back into a detailed agent-based model of farming decisions within the agricultural landscape.  Coupled to existing ecological models of MABES provision, we will apply this modeling framework to evaluating and comparing alternative incentives for MABES management and draw implications on reducing pesticides use.
"	SAME; SEAS		Mekong, Other (80/20)			230188	USD	CRP - Water, Land and Ecosystems	$230,188			$230,188							80%		20%	
63	2	2.4		11.ILRI	2.4.1	Raise money for external funding for specific projects and contribute to SRP 2 development						 Ericksen	ILRI	80 | Academic, Training and Research			Attend SRP 2 workshops; write proposals on mapping or resource tenure arrangements in pastoral system; inventoryof adaptation practices/ eco-efficiency in mixed crop-livestock systems.	Global		Other, Global (50/50)			54905	USD	CRP - Water, Land and Ecosystems	$54,905			$54,905									50%	50%
64	2	2.5		12.IWMI	2.5.1	Improved agricultural water management in rainfed production systems.						Katherine Snyder	IWMI	80 | Academic, Training and Research			"Reducing the risks associated with rainfall variability that is an innate attribute of rainfed production systems is critical to enhancing the performance of these agricultural production systems. To best achieve this agricultural water management at both the field and landscape scales are seen as part of the mix of solutions to enhance the productivity of these systems. To achieve this ongoing and new initiatives that focus on improving agricultural water management have been mapped to this activity. The overarching objective of this initiative is to build a comprehensive cluster of projects that would contribute to Activity cluster 2.5.  
There are current activities that are ongoing that attempt to address the risk associated with rainfall variability in these environments through the role of enhancing the productivity of light textured soils through the addition of clay, organic matter, biochar and combinations thereof that are being evaluated under rainfed systems in Lao PDR. Over the coming year collection and analysis of data from structured field trials will be undertaken and presented in peer reviewed publications and reports.
A scoping study on opportunities to improving the sustainable utilization and management of water and soil resources for coastal Vietnam will be undertaken as a precursor to a larger project to be funded in mid-2013.
In the development of a comprehensive cluster of projects to be undertaken within the Rainfed SRP efforts will be made to formulate a suite of new projects that would contribute to the 5 activity clusters within the SRP. The following proposed research areas could be considered:
1. Building upon the outcomes from the CPWF suite of projects in the Nile and Volta, research proposals that focus on the role of termites in ecosystem services (N2) and fire as a management tool (V4) will be developed.
2. Understanding impediments to scaling up adoption rates in rainfed systems and developing strategies and options to obviate these barriers.
3. The role of supplemental irrigation in improving the productivity of rainfed systems.
4. Understanding the impacts of scaling up agricultural water management (AWM) interventions and optimizing in situ water storage.
This process will be undertaken in consultation with CGIAR centres aligned to SRP Rainfed, stakeholders and other interested parties through face to face meetings and virtual discussion groups. "	SEAS		Nile, Volta & Niger,Limpopo & Zambezi, Mekong (25 each)			682661	USD	CRP - Water, Land and Ecosystems	$682,661	$0	$0	$682,661	25%	25%	25%				25%			
65	2	2.5		8.ICRISAT	2.5.2	Assessing impact of AWM interventions in different rainfall zones				2013		 Anantha	ICRISAT	80 | Academic, Training and Research			Monitoring and modeling of various hydrological components and ecosystem services in differnet ecological regions; Developing various agricultural water managemnet interventions at farm and community scale at pilot sites; Conducting farmers participatory land form trails with different cropping systems at pilot watershed and also at reseach station; Experimenting various tillage and conservation agriculture options and analyzing its impact on hydrology, crop yield and ecosystem services at research station and pilot sites; Demostrating various agricultural water management interventions, conservation practices, nutrinet management, improved agronomic practcies at pilot sites; Training, field days, exposure visits and workshops will be organised	Global		Nile, Global (65/35)			371300	USD	CRP - Water, Land and Ecosystems	$146,648		 $224,652.00 	$371,300	65%									35%
66	3	3.1		12.IWMI	3.1.1	Compilation and analysis of 50 RRR success stories		1-Dec-11		30-Nov-14		Miriam Otoo	IWMI	80 | Academic, Training and Research			Finalization of Resource Recovery Business Model Catalogues	Global		00 | Global			953747	USD	CRP - Water, Land and Ecosystems	$308,005	$0	$645,742	$953,747										10%
67	3	3.1		12.IWMI	3.1.2	Analysis of 30 existing, emerging and possible RRR business models 		1-Jun-11		31-Dec-13		Miriam Otoo	IWMI	80 | Academic, Training and Research			Feasibility studies for RRR business model implementation at scale	EAFR; SAME; SASI; SEAS	Uganda; Peru; India; Vietnam	Nile, Amu Darya & Sur Darya, Indus & Ganges, Global (20/20/20/40)	Kampala; Lima; Bangelore; Hanoi		953747	USD	CRP - Water, Land and Ecosystems	$308,005	$0	$645,742	$953,747	20%			20%		20%				40%
68	3	3.1		12.IWMI	3.1.3	Research and knowledge sharing on options to enhance urban and peri-urban agriculture 		1-May-11		31-Oct-12		Priyanie Amerasinghe	IWMI	80 | Academic, Training and Research			Research and knowledge sharing on options to enhance urban and peri-urban agriculture in support of guidelines	SASI	India; Sri Lanka	Indus & Ganges, Other (20/80)			158994	USD	CRP - Water, Land and Ecosystems	$111,598	$0	$47,396	$158,994						20%			80%	
69	3	3.2		12.IWMI	3.2.1	Making a safe asset out of  wastewater and excreta (treatment/sanitizing, composting, blending, pelletizing)		1-Jan-12		31-Dec-14		Josiane Nikiema;   Priyanie Amarasinghe;  Philip  Amoah	IWMI	80 | Academic, Training and Research			Research, training and policy development on safe use of septage and wastewater in urban and peri-urban agriculture 	Global		Nile, Volta & Niger, Limpopo & Zambezi, Amu Darya & Sur Darya, Tigris & Euphrates, Indus & Ganges, Mekong, Andes, Other, Global (10 each)			307262	USD	CRP - Water, Land and Ecosystems	$140,745	$0	$166,517	$307,262	10%	10%	10%	10%	10%	10%	10%	10%	10%	10%
70	3	3.2		6.ICARDA	3.2.2	Community-based Interventions for Productive Use of Greywater in home farming (Jordan, Lebanon and Palestine)						 Boufaroua	ICARDA	80 | Academic, Training and Research			the project will focuss on the the achievement of better livelihoods through the efficient and sustainable use of available water resources in dry areas. The project addressed improvement in grey-water quality and community-based interventions leading to the safe and productive use of grey-water for crop production systems at the household level. Moreover, the project implemented grey-water collection, treatment, and its productive use in home farming for income generation at the household level.	MENA	Jordan; Lebanon; Palestine	Other (100)			92000	USD	CRP - Water, Land and Ecosystems	$48,000	$22,000	$22,000	$92,000									100%	
71	3	3.2		6.ICARDA	3.2.3	Safe and Productive Use of Treated Wastewater and Greywater in irrigation in Palestine   (West Bank)						 Haddad; Boufaroua	ICARDA	80 | Academic, Training and Research			Exploiting the potential of valuable marginal water resources (grey and waste water). The main activities planned: (1) baseline information to undertake assessment of water resources and quality and quantity of marginal-quality water resources; (2) policy, institutional, and socio-economic dimensions of water resources and their use in different sectors; (3) research and technology transfer for the use of treated wastewater and greywater in agriculture; and (4) human and institutional capacity development. 	MENA	Palestine	Other (100)	West Bank		92000	USD	CRP - Water, Land and Ecosystems	$48,000	$22,000	$22,000	$92,000									100%	
72	3	3.2		6.ICARDA	3.2.4	Safe and Productive Use of Treated Wastewater and Greywater in Palestinian Territories (Gaza)						 Haddad; Boufaroua	ICARDA	80 | Academic, Training and Research			"With the goal of better livelihoods through improved and sustainable use of available water resources in Palestinian territories (Gaza), the proposed project aims to address the new techniques of using treated wastewater/grey water which aims to optimize the  quality and quantity of wastewater and greywater available, improvement in wastewater and greywater quality, and interventions leading to safe and productive use of wastewater for crop production systems at the farm level and similar use of greywater at the household level.

"	MENA	Palestine	Other (100)	Gaza		92000	USD	CRP - Water, Land and Ecosystems	$48,000	$22,000	$22,000	$92,000									100%	
73	3	3.2		8.ICRISAT	3.2.5	Wastewater reuse in agriculture				2016		 Wani	ICRISAT	80 | Academic, Training and Research			Selection of benchmark sites and baseline data collection; Formation and optimization of fungal consortia for wastewater treatment; Constructed wetlands for wastewater treatment; Conducting field scale experiments to analyze suitability of wastewater in agriculture; Laboratory/pot- scale study for identifying transport  processes in soil			Other (100)			1208000	USD	CRP - Water, Land and Ecosystems	$99,000		$1,109,000	$1,208,000									100%	
74	4	4		9.IFPRI	4.0.0	Liaison and travel budget for theme leader				30-Jun-15		 Claudia Ringler	FPRI	80 | Academic, Training and Research			Three trips in 2013 and associated time, 10 additional days, 5 days for budget administrator, 5k collab, 20k co-financing	Global					105130	USD	CRP - Water, Land and Ecosystems	105130			$105,130										
75	4	4.1		11.ILRI	4.1.0	contribute to implementation of CPWF projects						 Duncan; Ayantunde	ILRI	80 | Academic, Training and Research				EAFR		Nile, Volta & Niger (50/50)			1246952	USD	CRP - Water, Land and Ecosystems	 $141,095 		 $1,105,857 	$1,246,952	50%	50%								
76	4	4.1		12.IWMI	4.1.1	Evaluating various options for water storage planning and operation in various geographical and institutional contexts						Matthew McCartney	IWMI	80 | Academic, Training and Research			CRP5 - natural and built infrastructure i) Development of an approach for auditing/inventory of natural and built infrastructure in basins;  ii) Comparative analyses on how differing rainfall-runoff relationships in different basins alter water availability and  constrain / provide opportunities for varying services; iii) Functional assessment to determine how different services are provided by different natural and built infrastructure;	EAFR; SAFR; SASI; SEAS; WAFR		Indus & Ganges, Mekong, Other (30/30/40)			598275	USD	CRP - Water, Land and Ecosystems	$598,275	$0		$598,275						30%	30%		40%	
77	4	4.1		12.IWMI	4.1.2	Evaluating various options for water storage planning and operation in various geographical and institutional contexts						Matthew McCartney	IWMI	80 | Academic, Training and Research				SEAS; WAFR					699916	USD	CRP - Water, Land and Ecosystems	$246,959	$0	$452,957	$699,916										
78	4	4.1		12.IWMI	4.1.3	Evaluating potential for basin-wide harvesting of flood waters underground in Asia in  various geographical and institutional contexts				31-Dec-14		Paul Pavelic	IWMI	80 | Academic, Training and Research			Synthesis of global flood events and impacts and groundwater storage capacity hotspots	Asia					552974	USD	CRP - Water, Land and Ecosystems	$552,974	$0	$0	$552,974										
79	4	4.1		12.IWMI	4.1.4	Evaluating the potential of improved operation of Akosombo Dam in Ghana through introduction of Environmental water management aspects				31-Dec-15		Regassa; Fred Namara; Kizito	IWMI	80 | Academic, Training and Research			Development of the environmental management plan for the operation of the Akosombo Reservoir	WAFR	Ghana	Volta & Niger (100)	Akosombo dam		177372	USD	CRP - Water, Land and Ecosystems	$62,584	$0	$114,788	$177,372		100%								
80	4	4.1		12.IWMI	4.1.5	Improving water management in the Syrdarya and Amudarya basins by conjunctive management of groundwater and surface water				31-Dec-14		Akmal Karimov	IWMI	80 | Academic, Training and Research			A) Two groups of field, simulation and analyses focusing on i) LIFT IRRIGATED AREAS ON FOOTHILLS OF NORTHERN TAJIKISTAN (Syr Darya) and ii) ENHANCING WATER STORAGES OF THE KARSHI STEPPE by managed aquifer recharge MAR - AMUDARYA); b) Evaluation of advanced MAR technologies in both basins	CASI	Uzbekistan; Tajikistan	Amu Darya & Sur Darya (100)	Karshi steppe; Ferghana valley		221715	USD	CRP - Water, Land and Ecosystems	$221,715	$0	$0	$221,715				100%						
81	4	4.1		12.IWMI	4.1.6	Consolidating IWMI modeling and spatial analysis strategy				1-Sep-14		Robyn Johnston; Luna Bharati; Asad  Qureshi 	IWMI	80 | Academic, Training and Research			This is a suit of activities related to i) Completion of CIDA-funded Koshi modeling for storage assessment ii) Windows funded WEAP modeling of Indus iii) Visionary Report or JA on the need for better coordination of modeling activities worldwide in various basins that may better target donor investment, etc. 	Global; SASI	Nepal	Indus & Ganges, Global (50/50)	Koshi basin		185164	USD	CRP - Water, Land and Ecosystems	 $162,407 	 $22,757 	 $-   	$185,164						50%				50%
82	4	4.1	5.1	5.CPWF	4.1.7	Integrated management of rainwater to improve smallholder  productivity and livelihoods and reduce risk; Targeting and scaling out in the Limpopo						 Barron	CPWF	80 | Academic, Training and Research			Research to understand spatial patterns of adoption and scaling out of soil-water conservation structures, irrigation infrastructure rehabilitation, and improved crop-livestock systems in the Limpopo basin. 	SAFR		Limpopo & Zambezi (100)			91744	USD	CRP - Water, Land and Ecosystems	$91,744			$91,744			100%							
83	4	4.1	5.1	5.CPWF	4.1.8	Integrated management of rainwater and small reservoirs for multiple uses;  Coordination and change						 Cofie	CPWF	80 | Academic, Training and Research			Development of consistent storylines across the VBDC projects to provide a framework within which the projects can formulate specific scenarios and appropriate interventions to address  the VBDC challenge , Ethnographic research to understand the research and change process in the VBDC, Multiple activities related to fostering cross-project integration, maintaining basin research program coherence, engaging with senior policymakers, exploring scaling out opportunities, providing communications leadership, and participating in project M&E	WAFR		Volta & Niger (100)			307032	USD	CRP - Water, Land and Ecosystems		$307,032		$307,032		100%								
84	4	4.1	4.3	5.CPWF	4.1.9	Optimizing reservoir management for livelihoods in the Mekong						 Senaratne Sellamuttu	CPWF	80 | Academic, Training and Research			Research in several sub-basins in the Mekong to identify improved livelihoods activities associated with hydropower reservoir management and water release schedules; specific opportunities to improve livelihoods vary across sub-basins	SEAS		Mekong (100)			401196	USD	CRP - Water, Land and Ecosystems	$401,196			$401,196							100%			
85	4	4.1	4.3	5.CPWF	4.1.10	Water valuation in the Mekong						 Kura	CPWF	80 | Academic, Training and Research			Research in several sub-basins in the Mekong to quantify the value of water in different uses, given livelihoods improvements options and existing or planned hydropower infrastructure. For each sub-basin, household surveys are conducted; water valuation frameworks developed; and hydrological scenarios used for trade-off analysis.	SEAS		Mekong (100)			21953	USD	CRP - Water, Land and Ecosystems	$21,953			$21,953							100%			
86	4	4.1	4.3	5.CPWF	4.1.11	Coordination of multi-stakeholder platforms in the Mekong((coordination and change project)						 Geheb	CPWF	80 | Academic, Training and Research			Multiple activities related to fostering cross-project integration, maintaining basin research program coherence, engaging with senior policymakers, exploring scaling out opportunities, providing communications leadership, and participating in project M&E Management of large AusAID grant for launch of several research projects complementary to those of the original Mekong BDC program	SEAS		Mekong (100)			468626	USD	CRP - Water, Land and Ecosystems	$468,626			$468,626							100%			
87	4	4.1		5.CPWF	4.1.12	Mekong Dam Development ; Dammed If.. 						 Victor	CPWF	80 | Academic, Training and Research			Produce an objective, science based film on the Mekong focused on livelihoods, governance and fisheries along with 3 thematic shorts in a at least 4 languages , Show the film regionally in the Goethe Science Film festival, Website and other dissemination activities carried out 	SEAS		Mekong, Global (80/20)			27000	USD	CRP - Water, Land and Ecosystems			$27,000	$27,000							80%			20%
88	4	4.1	5.1	5.CPWF	4.1.13	Assessing and anticipating consequences of innovation In the Nile						 MacAlister	CPWF	80 | Academic, Training and Research			Research to understand the Nile basin consequences of upstream changes in land and water management. Activities include SWAT modification and application, WEAP modification and application, improvement and use of global soil and water data sets for climate reanalysis for Africa, and introduction of optimization models that incorporate economic performance criteria.	EAFR	Ethiopia	Nile(100)			342360	USD	CRP - Water, Land and Ecosystems	$342,360			$342,360	100%									
89	4	4.1	4.2	5.CPWF	4.1.14	Coordination and change enabling project 						 Meisner	CPWF	80 | Academic, Training and Research			Multiple activities related to fostering cross-project integration, maintaining basin research program coherence, engaging with senior policymakers, exploring scaling out opportunities, providing communications leadership, and participating in project M&E	SASI	Bangladesh; India	Indus & Ganges (100)	West Bengal		354333	USD	CRP - Water, Land and Ecosystems	$354,333			$354,333						100%				
90	4	4.1	5.1	5.CPWF	4.1.15	Integrated management of rainwater and small reservoirs for multiple uses;  Targeting and scaling out 						 Barron	CPWF	80 | Academic, Training and Research			Research to understand spatial patterns of adoption and scaling out of soil-water conservation structures vs. small reservoirs vs. small pumps in study areas of the Volta basin. 	WAFR		Volta & Niger (100)			121792	USD	CRP - Water, Land and Ecosystems		$121,792		$121,792		100%								
91	4	4.2	4.4	12.IWMI	4.2.1	Developing a prototype surface- and ground- water balance approach for assessment of  watershed interventions						Paul Pavelic	IWMI	80 | Academic, Training and Research			Developing simple model to describe hydrological processes that can explore CU and upstream-downstream linkages			Other (100)			224986	USD	CRP - Water, Land and Ecosystems	$79,384	$0	$145,602	$224,986									100%	
92	4	4.2	4.4	12.IWMI	4.2.2	Developing a methodology for assessment of basin-wide soil salinity based on RS-vegetation data and field measurements of salinity						Asad Qureshi	IWMI	80 | Academic, Training and Research			i) Analysis of linkages between groundwater table depth, soil salinity and crop yields in basins of central and southern Iraq. Ii) Analysing current status of irrigation and drainage infrastructure in river basins in Iraq, and investments needed to rehabilitate it.	MENA	Iraq	Tigris & Euphrates (100)			25453	USD	CRP - Water, Land and Ecosystems	$8,981	$0	$16,472	$25,453					100%					
93	4	4.2	4.4	12.IWMI	4.2.3	Selection and adaptation of indicators and devices for improvement of agricultural productivity in irrigated areas of river basins				31-May-14		Regassa Namara	IWMI	80 | Academic, Training and Research			Monitoring of key parameters that determine current constraints to food production in study areas ii)  evaluation of agro-ecological and socio-economic impacts of improved practices and/or innovations after implementation.  iii) Application of  IWMI's irrigation diagnosis and planning tool (OASIS) at irrigation schemes in Ethiopia and Moazambique.iv) contribution to  linking the partner's PILOTE model and the Steady State Salinity Modeling Platform (SSSMP)	EAFR; SAFR	Ethiopia; Mozambique	Volta & Niger, Limpopo & Zambezi (50/50)			130914	USD	CRP - Water, Land and Ecosystems	$46,192	$0	$84,722	$130,914		50%	50%			 	 			
94	4	4.2		12.IWMI	4.2.4	Fieldwork on Payments for Ecosystem Services in Nepal, Laos and Vietnam						Chu Thai Hoanh	IWMI	80 | Academic, Training and Research			i) Implement the survey and analysis on microfinance, cost-benefit, livelihoods and institutional structures for PES and benefit sharing of reservoir development in Laos, Vietnam and Nepal                                                                                                                                                                                                                                                               ii) Organize a regional conference on benefit sharing of reservoir development for sharing lessons from different countries	SASI; SEAS	Nepal; Lao PDR; Vietnam	Indus & Ganges, Mekong (20/80)			634763	USD	CRP - Water, Land and Ecosystems	$223,970	$0	$410,793	$634,763						20%	80%			
95	4	4.2		12.IWMI	4.2.5	Synthesis of water policy research on i) human rights and gender dimensions of AWM in South Africa and ii) Politics of IWRM in Africa				30-Jun-15		Barbara van Koppen	IWMI	80 | Academic, Training and Research			i) Historical analysis of women's socio-economic human rights in the Flag Boshielo Irrigation Scheme, in the light of South Africa's national rights-based policies and laws; ii) Historical analysis of operationalization and implementation of IWRM concepts in water policies and laws in South Africa; iii) support to a component  study led by Sokoine University of Agriculture in Tanzania 	EAFR; SAFR	Tanzania; South Africa	Limpopo & Zambezi (100)	Flag Boshielo irrigation scheme		99275	USD	CRP - Water, Land and Ecosystems	$35,028	$0	$64,247	$99,275			100%							
96	4	4.2		12.IWMI	4.2.6	Support to the Ramsar convention on wetlands;  synthesis of scientific information on large wetlands, and on large-scale wetland monitoring						Matthew McCartney; Lisa-Maria Rebelo	IWMI	80 | Academic, Training and Research			i) Support to various working groups (e.g. wetlands and agriculture, wetlands and poverty alleviation, wetlands and climate change) of the Ramsar Science and Technical Review Panel. ii) Co-organising RAMSAR side event on Wetlands monitoring by Earth Observation Satellites – Current State of the Art (organized by JAXA, IWMI and ESA) Ii) Syntheses of knowledge on  Sudd Processes and ESs 	Global		00 | Global	Sudd		75000	USD	CRP - Water, Land and Ecosystems	$75,000	$0	$0	$75,000										100%
97	4	4.2		12.IWMI	4.2.7	Improving groundwater use for irrigation in the Greater Mekong Sub region (GMS) 				31-Dec-14		Paul Pavelic	IWMI	80 | Academic, Training and Research			Groundwater use for irrigation is virtually non-existent in Lao PDR and minimal across the Greater Mekong Sub-region (GMS) (with few exceptions). Based on experiences from other regions which have intensified groundwater use as well as knowledge from the GMS, there is the potential for expansion if existing barriers can be overcome.	SEAS	Lao PDR	Mekong (100)	GMS		1049037	USD	CRP - Water, Land and Ecosystems	 $370,143 	 $678,894 	 $-   	$1,049,037							100%			
98	4	4.2		12.IWMI	4.2.8	Evaluating the role of large  transboundary aquifers for food security in Southern Africa						Karen Villholth	IWMI	80 | Academic, Training and Research			Groundwater use for irrigation is limited in Southern Africa, while surface water resources are getting overused. The boost to local agriculture through water shall come from exploitation of large transboundary aquifers (TBAs). 	SAFR		Limpopo & Zambezi (100)			150000	USD	CRP - Water, Land and Ecosystems	 $150,000 	 $-   	 $-   	$150,000			100%							
